,Respondent_Serial,language,country,D1,D2,D3,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,yyyymmdd,AgeGender,regionAustralia,regionUS,regionUK,regionIndia,regionNigeria,regionPhilippines,regionFinland,regionPortugal,regionBrazil,regionFrance,weight
12,39.0,English,India,25.0,woman,India: North India,moderately,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,yes,moderately,yes,yes,yes,yes,yes,yes,yes,no,no,moderately,moderately,very,very,moderately,very,very,not at all,a little,20210518.0,Women 21-25,,,,North India,,,,,,,0.7039234893501642
13,40.0,English,Philippines,23.0,man,Philippines: Central Philippines Region,extremely,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,moderately,yes,yes,no,yes,yes,yes,no,no,no,moderately,moderately,very,moderately,very,very,very,very,moderately,20210518.0,Men 21-25,,,,,,Central Philippines Region,,,,,0.7209880946930312
14,41.0,English,India,21.0,woman,India: North India,extremely,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,not at all,moderately,a little,moderately,a little,a little,not at all,not at all,moderately,20210518.0,Women 21-25,,,,North India,,,,,,,0.7039234893501642
15,43.0,English,Australia,19.0,woman,Australia: Western Australia,moderately,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,yes,yes,,not at all,,yes,yes,,no,no,yes,yes,yes,,,very,not at all,a little,not at all,moderately,very,not at all,20210518.0,Women 16-20,Western Australia,,,,,,,,,,0.9260967366097504
16,44.0,English,Philippines,18.0,man,Philippines: Mindanao Super Region,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,moderately,yes,yes,no,yes,yes,no,no,yes,yes,a little,moderately,very,a little,a little,moderately,a little,moderately,moderately,20210518.0,Men 16-20,,,,,,Mindanao Super Region,,,,,1.9462256634233035
17,45.0,English,Australia,24.0,woman,Australia: Queensland,a little,no,no,no,no,yes,no,no,yes,no,no,no,no,no,,no,no,yes,no,no,no,no,yes,,moderately,,,,no,,yes,,,,not at all,not at all,not at all,moderately,not at all,moderately,moderately,not at all,a little,20210518.0,Women 21-25,Queensland,,,,,,,,,,0.9581592997705705
18,46.0,English,Philippines,22.0,man,Philippines: Central Philippines Region,very,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,a little,no,yes,yes,no,yes,yes,no,yes,no,not at all,not at all,not at all,very,not at all,very,not at all,not at all,very,20210518.0,Men 21-25,,,,,,Central Philippines Region,,,,,0.7209880946930312
19,47.0,English,India,19.0,woman,India: East India,extremely,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,moderately,no,no,yes,no,no,no,yes,yes,yes,extremely,extremely,very,not at all,extremely,a little,extremely,a little,not at all,20210518.0,Women 16-20,,,,East India,,,,,,,1.7414054937569843
20,48.0,English,Australia,22.0,woman,Australia: Queensland,moderately,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,,not at all,no,yes,yes,no,no,,yes,yes,yes,moderately,a little,moderately,moderately,moderately,not at all,moderately,moderately,moderately,20210518.0,Women 21-25,Queensland,,,,,,,,,,0.9581592997705705
21,49.0,English,India,21.0,man,India: West India,extremely,yes,no,yes,yes,no,yes,yes,yes,no,yes,,yes,no,yes,yes,,yes,yes,no,,yes,yes,yes,not at all,no,no,,no,no,yes,yes,,yes,a little,moderately,very,not at all,extremely,not at all,very,moderately,not at all,20210518.0,Men 21-25,,,,West India,,,,,,,0.6670470918211177
22,51.0,English,Australia,21.0,woman,Australia: New South Wales,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,yes,no,yes,no,no,no,yes,yes,yes,a little,very,very,not at all,extremely,not at all,a little,very,a little,20210518.0,Women 21-25,New South Wales,,,,,,,,,,0.7716483180487432
23,52.0,English,India,25.0,man,India: East India,moderately,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,moderately,no,no,no,yes,no,yes,yes,yes,yes,moderately,moderately,moderately,moderately,moderately,a little,moderately,moderately,a little,20210518.0,Men 21-25,,,,East India,,,,,,,0.9816111889294205
24,53.0,English,Philippines,21.0,man,Philippines: Mindanao Super Region,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,not at all,yes,yes,no,yes,yes,yes,no,yes,no,moderately,a little,moderately,very,very,moderately,a little,moderately,moderately,20210518.0,Men 21-25,,,,,,Mindanao Super Region,,,,,0.6982261956861798
25,54.0,English,Australia,18.0,woman,Australia: Queensland,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,not at all,no,no,yes,no,no,no,no,yes,yes,moderately,very,extremely,a little,moderately,not at all,a little,a little,not at all,20210518.0,Women 16-20,Queensland,,,,,,,,,,1.0795608562983807
26,55.0,English,Australia,19.0,woman,Australia: New South Wales,moderately,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,moderately,yes,yes,yes,no,yes,yes,no,yes,yes,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,20210518.0,Women 16-20,New South Wales,,,,,,,,,,0.8694183933646281
27,56.0,English,Australia,24.0,woman,Australia: South Australia,very,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,,not at all,no,no,yes,no,no,no,yes,yes,no,moderately,moderately,moderately,a little,moderately,a little,moderately,a little,not at all,20210518.0,Women 21-25,South Australia,,,,,,,,,,0.8127712524349114
28,57.0,English,Australia,21.0,woman,Australia: New South Wales,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,moderately,no,no,yes,no,yes,no,no,yes,yes,extremely,extremely,extremely,moderately,extremely,extremely,not at all,extremely,extremely,20210518.0,Women 21-25,New South Wales,,,,,,,,,,0.7716483180487432
29,58.0,English,Australia,18.0,woman,Australia: New South Wales,a little,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,,no,yes,yes,no,yes,yes,no,no,no,not at all,moderately,not at all,very,a little,moderately,not at all,moderately,a little,20210518.0,Women 16-20,New South Wales,,,,,,,,,,0.8694183933646281
30,59.0,English,Philippines,18.0,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,extremely,extremely,extremely,moderately,extremely,not at all,extremely,extremely,not at all,20210518.0,Women 16-20,,,,,,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,,,,,1.7051771177775494
31,60.0,English,Australia,24.0,woman,Australia: New South Wales,a little,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,moderately,no,no,yes,no,no,no,no,no,no,a little,a little,a little,a little,a little,a little,a little,a little,a little,20210518.0,Women 21-25,New South Wales,,,,,,,,,,0.7716483180487432
32,61.0,English,Australia,21.0,woman,Australia: Queensland,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,a little,no,no,yes,no,no,no,yes,yes,yes,moderately,moderately,very,not at all,very,not at all,very,a little,not at all,20210518.0,Women 21-25,Queensland,,,,,,,,,,0.9581592997705705
33,62.0,English,Australia,24.0,woman,Australia: Western Australia,extremely,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,,no,yes,,a little,no,no,yes,no,,no,,yes,yes,a little,not at all,very,a little,very,not at all,very,not at all,a little,20210518.0,Women 21-25,Western Australia,,,,,,,,,,0.8219529223321098
34,63.0,English,Australia,20.0,woman,Australia: South Australia,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,moderately,yes,yes,yes,yes,yes,yes,yes,yes,yes,a little,a little,a little,a little,extremely,a little,a little,moderately,a little,20210518.0,Women 16-20,South Australia,,,,,,,,,,0.9157517225616252
35,65.0,Portuguese,Portugal,25.0,man,Portugal: North,very,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,a little,no,yes,no,no,yes,yes,no,yes,no,not at all,not at all,a little,moderately,moderately,moderately,a little,a little,moderately,20210518.0,Men 21-25,,,,,,,,North,,,0.8432625289349607
36,66.0,English,Australia,21.0,man,Australia: Queensland,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,moderately,yes,yes,yes,yes,yes,yes,yes,yes,yes,moderately,extremely,extremely,not at all,extremely,a little,not at all,very,not at all,20210518.0,Men 21-25,Queensland,,,,,,,,,,1.3352892211014513
37,67.0,French,France,21.0,man,France: Centre,not worried,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,,not at all,no,no,yes,no,no,no,yes,yes,yes,a little,moderately,a little,not at all,very,not at all,not at all,very,not at all,20210518.0,Men 21-25,,,,,,,,,,Centre,0.9512586747655055
38,68.0,English,United Kingdom,25.0,man,United Kingdom: North,very,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,a little,no,yes,yes,no,no,no,yes,yes,yes,a little,moderately,very,very,very,very,a little,moderately,extremely,20210518.0,Men 21-25,,,North,,,,,,,,1.0694221826080494
39,73.0,English,Australia,20.0,woman,Australia: Victoria,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,yes,no,no,no,yes,,moderately,yes,yes,,yes,yes,yes,no,no,no,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,20210518.0,Women 16-20,Victoria,,,,,,,,,,0.91285867084328
40,75.0,English,Philippines,25.0,man,Philippines: Mindanao Super Region,moderately,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,very,no,yes,no,yes,yes,no,no,no,no,not at all,moderately,moderately,extremely,not at all,moderately,not at all,moderately,moderately,20210518.0,Men 21-25,,,,,,Mindanao Super Region,,,,,0.6982261956861798
41,77.0,English,Australia,17.0,woman,Australia: Victoria,not worried,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,not at all,no,no,no,no,no,no,no,no,no,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,20210518.0,Women 16-20,Victoria,,,,,,,,,,0.91285867084328
42,78.0,English,Australia,21.0,woman,Australia: Queensland,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,no,yes,yes,no,no,no,yes,yes,yes,not at all,very,extremely,not at all,very,not at all,very,not at all,not at all,20210518.0,Women 21-25,Queensland,,,,,,,,,,0.9581592997705705
43,80.0,Portuguese,Brazil,22.0,woman,Brazil: Southeast,very,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,very,extremely,extremely,not at all,extremely,not at all,very,very,not at all,20210518.0,Women 21-25,,,,,,,,,Southeast,,0.726200239102256
44,87.0,Finnish,Finland,22.0,man,Finland: South Finland,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,a little,yes,no,no,yes,yes,yes,no,no,no,very,a little,extremely,a little,moderately,moderately,very,extremely,extremely,20210518.0,Men 21-25,,,,,,,South Finland,,,,1.1282464444101474
45,88.0,English,India,20.0,man,India: South India,moderately,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,,no,no,no,yes,no,yes,no,no,no,not at all,not at all,not at all,moderately,not at all,not at all,moderately,moderately,not at all,20210518.0,Men 16-20,,,,South India,,,,,,,1.451057963242869
46,89.0,Portuguese,Portugal,25.0,woman,Portugal: Lisboa & Tagus Valley,extremely,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,not at all,no,yes,yes,no,no,no,no,yes,yes,very,a little,extremely,very,extremely,a little,very,moderately,a little,20210518.0,Women 21-25,,,,,,,,Lisboa & Tagus Valley,,,0.6749451399178247
47,92.0,English,India,17.0,woman,India: North India,very,no,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,completely reassured,no,yes,no,yes,yes,yes,yes,yes,yes,extremely,not at all,a little,very,very,very,a little,extremely,very,20210518.0,Women 16-20,,,,North India,,,,,,,1.4453744490568754
48,93.0,English,Australia,20.0,woman,Australia: Victoria,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,yes,not at all,no,no,yes,yes,no,no,yes,yes,no,not at all,very,very,a little,extremely,not at all,extremely,extremely,not at all,20210518.0,Women 16-20,Victoria,,,,,,,,,,0.91285867084328
49,94.0,English,Australia,18.0,woman,Australia: Queensland,very,yes,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,moderately,yes,no,yes,yes,yes,yes,no,yes,,not at all,,not at all,,not at all,not at all,a little,a little,moderately,20210518.0,Women 16-20,Queensland,,,,,,,,,,1.0795608562983807
50,95.0,Finnish,Finland,21.0,man,Finland: South Finland,moderately,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,completely reassured,yes,yes,yes,yes,yes,yes,yes,yes,yes,a little,a little,a little,a little,a little,a little,a little,a little,a little,20210518.0,Men 21-25,,,,,,,South Finland,,,,1.1282464444101474
51,96.0,English,Australia,21.0,woman,Australia: New South Wales,moderately,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,moderately,yes,yes,yes,yes,yes,yes,no,yes,yes,moderately,a little,moderately,moderately,moderately,moderately,moderately,a little,moderately,20210518.0,Women 21-25,New South Wales,,,,,,,,,,0.7716483180487432
52,97.0,English,India,19.0,woman,India: South India,extremely,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,a little,no,no,yes,no,no,no,yes,yes,yes,a little,very,a little,a little,a little,a little,very,very,a little,20210518.0,Women 16-20,,,,South India,,,,,,,1.4214363892028168
53,98.0,English,Philippines,25.0,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,very,yes,yes,no,yes,yes,yes,no,no,no,not at all,not at all,not at all,extremely,not at all,extremely,not at all,not at all,very,20210518.0,Women 21-25,,,,,,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,,,,,0.649679802136875
54,100.0,English,Australia,25.0,woman,Australia: Queensland,extremely,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,moderately,yes,yes,yes,no,yes,yes,yes,yes,no,moderately,a little,moderately,moderately,moderately,moderately,a little,extremely,moderately,20210518.0,Women 21-25,Queensland,,,,,,,,,,0.9581592997705705
55,101.0,Portuguese,Portugal,21.0,woman,Portugal: Lisboa & Tagus Valley,extremely,yes,,yes,yes,no,yes,,,yes,no,,yes,yes,no,yes,yes,yes,yes,yes,,yes,yes,no,moderately,,yes,,yes,,,,,,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,20210518.0,Women 21-25,,,,,,,,Lisboa & Tagus Valley,,,0.6749451399178247
56,102.0,Finnish,Finland,22.0,woman,Finland: West Finland,very,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,moderately,moderately,very,moderately,moderately,a little,a little,moderately,20210518.0,Women 21-25,,,,,,,West Finland,,,,0.7093192249242061
57,103.0,Finnish,Finland,19.0,man,Finland: West Finland,very,no,yes,no,yes,no,,yes,no,,,yes,yes,yes,no,yes,no,no,no,,yes,yes,yes,yes,very,no,no,no,yes,no,,,yes,yes,moderately,extremely,moderately,moderately,very,,a little,moderately,moderately,20210518.0,Men 16-20,,,,,,,West Finland,,,,1.003880491296018
58,104.0,English,India,18.0,man,India: East India,extremely,no,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,a little,yes,no,yes,no,no,yes,no,no,no,a little,moderately,a little,a little,not at all,not at all,a little,a little,a little,20210518.0,Men 16-20,,,,East India,,,,,,,1.7776949627468739
59,105.0,Finnish,Finland,20.0,man,Finland: East Finland,extremely,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,completely reassured,yes,yes,yes,yes,yes,yes,yes,yes,yes,moderately,very,very,not at all,not at all,moderately,moderately,moderately,very,20210518.0,Men 16-20,,,,,,,East Finland,,,,1.1203657229946984
60,106.0,Finnish,Finland,25.0,man,Finland: South Finland,not worried,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,not at all,no,yes,yes,no,no,no,yes,yes,yes,not at all,not at all,not at all,not at all,extremely,not at all,not at all,not at all,not at all,20210518.0,Men 21-25,,,,,,,South Finland,,,,1.1282464444101474
61,107.0,Finnish,Finland,24.0,man,Finland: South Finland,moderately,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,moderately,no,no,no,no,no,no,no,no,no,not at all,not at all,not at all,moderately,not at all,not at all,not at all,not at all,moderately,20210518.0,Men 21-25,,,,,,,South Finland,,,,1.1282464444101474
62,108.0,Finnish,Finland,20.0,man,Finland: South Finland,very,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,very,yes,yes,no,yes,yes,no,yes,yes,yes,a little,very,moderately,moderately,moderately,a little,moderately,a little,a little,20210518.0,Men 16-20,,,,,,,South Finland,,,,1.0478541383029216
63,109.0,Finnish,Finland,17.0,man,Finland: South Finland,moderately,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,moderately,yes,yes,no,yes,no,yes,no,no,yes,a little,not at all,not at all,not at all,a little,not at all,a little,moderately,not at all,20210518.0,Men 16-20,,,,,,,South Finland,,,,1.0478541383029216
64,110.0,Finnish,Finland,25.0,woman,Finland: North Finland,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,a little,no,no,yes,no,no,no,yes,yes,yes,a little,a little,moderately,a little,moderately,moderately,very,moderately,a little,20210518.0,Women 21-25,,,,,,,North Finland,,,,0.7870439499531771
65,111.0,Finnish,Finland,20.0,woman,Finland: South Finland,very,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,,yes,no,no,no,no,yes,,moderately,yes,yes,no,yes,no,no,yes,no,yes,not at all,moderately,a little,a little,moderately,extremely,moderately,moderately,moderately,20210518.0,Women 16-20,,,,,,,South Finland,,,,1.2080684447628702
66,112.0,Finnish,Finland,21.0,woman,Finland: West Finland,a little,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,moderately,no,no,,,,,,no,,,,not at all,not at all,not at all,not at all,not at all,,not at all,20210518.0,Women 21-25,,,,,,,West Finland,,,,0.7093192249242061
67,113.0,English,India,25.0,man,India: North India,moderately,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,not at all,no,no,yes,yes,yes,yes,no,yes,no,very,very,extremely,moderately,moderately,moderately,moderately,moderately,extremely,20210518.0,Men 21-25,,,,North India,,,,,,,0.8147417338887302
68,114.0,English,Australia,21.0,woman,Australia: Tasmania,,no,yes,yes,yes,no,yes,yes,yes,yes,yes,,yes,yes,,yes,yes,no,yes,yes,yes,no,yes,,moderately,,,,,,,,,,moderately,not at all,very,moderately,a little,moderately,a little,very,extremely,20210518.0,Women 21-25,Tasmania,,,,,,,,,,0.7391533989489292
69,116.0,Finnish,Finland,22.0,woman,Finland: South Finland,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,moderately,moderately,not at all,moderately,not at all,very,very,not at all,20210518.0,Women 21-25,,,,,,,South Finland,,,,0.7403900082320471
